Designator,Mid X,Mid Y,Rotation,Layer
_8,56.332,-59.5672,0.0,top
_7,50.0836,-59.5672,0.0,top
_6,54.2554,-59.5736,0.0,top
_5,52.1788,-59.5736,0.0,top
_4,56.332,-59.5736,90.0,bottom
_3,52.1788,-59.5736,180.0,bottom
_2,50.0836,-59.5672,0.0,bottom
,54.2554,-59.5736,180.0,bottom
C1,50.661,-55.474,270.0,top
C2,54.2678,-52.1974,180.0,top
C3,49.8158,-54.3052,270.0,bottom
C4,56.2674,-53.9496,90.0,bottom
U1,54.322,-55.542,180.0,top
U2,53.067,-54.1528,270.0,bottom
