Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C3, C5",CP_Elec_6.3x5.4,4,10uF,
"C10, C11, C16, C18, C2, C4, C6, C9",0805,8,0.1uF,
J1,PinHeader_2x20_P1.27mm_Vertical_SMD,1,TOP,
J2,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,Motor 1,
J3,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,Motor 2,
J4,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,Motor 3,
J5,PinHeader_2x20_P1.27mm_Vertical_SMD,1,BUTTOM,
J6,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,Motor 4,
"U1, U2, U3, U6",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,4,DRV8870DDA,
