Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,SPI,
"J10, J13",PinHeader_2x20_P1.27mm_Vertical_SMD,2,Conn_02x20_Odd_Even,
J11,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,ADC 2,
J12,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,UART1,
"J2, J5, J7, J8",JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,4,PWM,
J3,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,UART2,
J4,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,I2C,
J6,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,CAN,
J9,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,ADC 1,
